image_url,local_path,breed
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_2534.jpg,data/images/n02107908_2534.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_2809.jpg,data/images/n02107908_2809.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_3188.jpg,data/images/n02107908_3188.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_4473.jpg,data/images/n02107908_4473.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_585.jpg,data/images/n02107908_585.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_7443.jpg,data/images/n02107908_7443.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_91.jpg,data/images/n02107908_91.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_671.jpg,data/images/n02107908_671.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_6567.jpg,data/images/n02107908_6567.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_5654.jpg,data/images/n02107908_5654.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_5534.jpg,data/images/n02107908_5534.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_4296.jpg,data/images/n02107908_4296.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02107908-Appenzeller/n02107908_3720.jpg,data/images/n02107908_3720.jpg,Appenzeller
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_10355.jpg,data/images/n02090622_10355.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_10607.jpg,data/images/n02090622_10607.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_1253.jpg,data/images/n02090622_1253.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_3615.jpg,data/images/n02090622_3615.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_3210.jpg,data/images/n02090622_3210.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_2688.jpg,data/images/n02090622_2688.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_2518.jpg,data/images/n02090622_2518.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_4038.jpg,data/images/n02090622_4038.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_5775.jpg,data/images/n02090622_5775.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_6372.jpg,data/images/n02090622_6372.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_6851.jpg,data/images/n02090622_6851.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_7232.jpg,data/images/n02090622_7232.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_7677.jpg,data/images/n02090622_7677.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_8610.jpg,data/images/n02090622_8610.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_9662.jpg,data/images/n02090622_9662.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02090622-borzoi/n02090622_9814.jpg,data/images/n02090622_9814.jpg,Borzoi
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02105412-kelpie/n02105412_1201.jpg,data/images/n02105412_1201.jpg,Kelpie
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02105412-kelpie/n02105412_150.jpg,data/images/n02105412_150.jpg,Kelpie
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02105412-kelpie/n02105412_1795.jpg,data/images/n02105412_1795.jpg,Kelpie
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02105412-kelpie/n02105412_1920.jpg,data/images/n02105412_1920.jpg,Kelpie
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02105412-kelpie/n02105412_1968.jpg,data/images/n02105412_1968.jpg,Kelpie
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02105412-kelpie/n02105412_2355.jpg,data/images/n02105412_2355.jpg,Kelpie
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02105412-kelpie/n02105412_2249.jpg,data/images/n02105412_2249.jpg,Kelpie
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02105412-kelpie/n02105412_2631.jpg,data/images/n02105412_2631.jpg,Kelpie
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02105412-kelpie/n02105412_3116.jpg,data/images/n02105412_3116.jpg,Kelpie
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02105412-kelpie/n02105412_3416.jpg,data/images/n02105412_3416.jpg,Kelpie
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02105412-kelpie/n02105412_4556.jpg,data/images/n02105412_4556.jpg,Kelpie
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02105412-kelpie/n02105412_4140.jpg,data/images/n02105412_4140.jpg,Kelpie
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02105412-kelpie/n02105412_4948.jpg,data/images/n02105412_4948.jpg,Kelpie
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02105412-kelpie/n02105412_5702.jpg,data/images/n02105412_5702.jpg,Kelpie
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_1409.jpg,data/images/n02086910_1409.jpg,Papillon
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_1492.jpg,data/images/n02086910_1492.jpg,Papillon
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_2168.jpg,data/images/n02086910_2168.jpg,Papillon
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_21.jpg,data/images/n02086910_21.jpg,Papillon
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_1971.jpg,data/images/n02086910_1971.jpg,Papillon
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_1826.jpg,data/images/n02086910_1826.jpg,Papillon
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_26.jpg,data/images/n02086910_26.jpg,Papillon
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_2875.jpg,data/images/n02086910_2875.jpg,Papillon
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_3478.jpg,data/images/n02086910_3478.jpg,Papillon
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_3974.jpg,data/images/n02086910_3974.jpg,Papillon
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_5017.jpg,data/images/n02086910_5017.jpg,Papillon
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_6509.jpg,data/images/n02086910_6509.jpg,Papillon
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_7405.jpg,data/images/n02086910_7405.jpg,Papillon
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_7412.jpg,data/images/n02086910_7412.jpg,Papillon
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_8606.jpg,data/images/n02086910_8606.jpg,Papillon
http://vision.stanford.edu/aditya86/ImageNetDogs/images/n02086910-papillon/n02086910_933.jpg,data/images/n02086910_933.jpg,Papillon
